shakespeare,modern
Poor soul !,Poor man !
His eyes are red as fire with weeping .,Antony's eyes are fiery red from crying .
There's not a nobler man in Rome than Antony .,There isn't a nobler man than Antony in all of Rome .
But yesterday the word of Caesar might Have stood against the world .,Only yesterday the word of Caesar might have stood against the world .
"Now lies he there , And none so poor to do him reverence .","Now he lies there worth nothing , and no one is so humble as to show him respect ."
"O masters , if I were disposed to stir Your hearts and minds to mutiny and rage , I should do Brutus wrong , and Cassius wrong , Who , you all know , are honorable men .","Oh , sirs , if I stirred your hearts and minds to mutiny and rage , I would offend Brutus and Cassius , who , you all know , are honorable men ."
I will not do them wrong .,I will not do them wrong .
"I rather choose To wrong the dead , to wrong myself and you , Than I will wrong such honorable men .","I would rather wrong the dead , and wrong myself and you , than wrong such honorable men ."
But here's a parchment with the seal of Caesar .,But here's a paper with Caesar's seal on it .
"Let but the commons hear this testament , Which , pardon me , I do not mean to read , And they would go and kiss dead Caesar's wounds And dip their napkins in his sacred blood , Yea , beg a hair of him for memory , And , dying , mention it within their wills , Bequeathing it as a rich legacy Unto their issue .","If you could only hear this testament , which , excuse me , I don't intend to read aloud , you would kiss dead Caesar's wounds and dip your handkerchiefs in his sacred blood , and beg for a lock of hair to remember him by ."
We'll hear the will .,We want to hear the will .
"Read it , Mark Antony !","Read it , Mark Antony ."
"The will , the will !","The will , the will !"
We will hear Caesar's will .,We want to hear Caesar's will .
It is not meet you know how Caesar loved you .,It isn't proper for you to know how much Caesar loved you .
"You are not wood , you are not stones , but men .","You aren't wood , you aren't stones , you're men ."
"And , being men , bearing the will of Caesar , It will inflame you , it will make you mad .","And , being men , the contents of Caesar's will would enrage you ."
Read the will .,Read the will .
"We'll hear it , Antony .","We want to hear it , Antony ."
"You shall read us the will , Caesar's will .","You have to read us the will , Caesar's will ."
Will you be patient ?,Will you be patient ?
Will you stay awhile ?,Will you wait awhile ?
I have o'ershot myself to tell you of it .,I've said too much in telling you of it .
I fear I wrong the honorable men Whose daggers have stabbed Caesar .,I'm afraid that I wrong the honorable men whose daggers have stabbed Caesar .
They were traitors !,They were traitors .
The testament !,The testament !
"They were villains , murderers .","They were villains , murderers ."
The will !,The will !
Read the will !,Read the will !
"You will compel me , then , to read the will ?","You force me to read the will , then ?"
"Then make a ring about the corpse of Caesar , And let me show you him that made the will .","Then make a circle around Caesar's corpse , and let me show you the man who made this will ."
Shall I descend ?,Shall I come down ?
And will you give me leave ?,Will you let me ?
Come down .,Come down .
Descend .,Descend .
You shall have leave .,We'll let you .
Stand from the hearse .,Stand away from the hearse .
Stand from the body .,Stand away from the body .
"Room for Antony , most noble Antony !","Make room for Antony , most noble Antony !"
"Nay , press not so upon me .","No , don't press up against me ."
Stand far off .,Stand further away .
Stand back .,Stand back .
Room !,Give him room .
"If you have tears , prepare to shed them now .","If you have tears , prepare to shed them now ."
You all do know this mantle .,You all know this cloak .
I remember The first time ever Caesar put it on .,I remember the first time Caesar ever put it on .
"Twas on a summer's evening in his tent , That day he overcame the Nervii .",It was the day he overcame the Nervii warriors .
"Look , in this place ran Cassius ' dagger through .","Look , here's where Cassius's dagger pierced it ."
See what a rent the envious Casca made .,See the wound that Casca made .
"For Brutus , as you know , was Caesar's angel .","For Brutus , as you know , was Caesar's angel ."
"Judge , O you gods , how dearly Caesar loved him !",The gods know how dearly Caesar loved him !
This was the most unkindest cut of all .,This was the most unkind cut of all .
"Then burst his mighty heart , And , in his mantle muffling up his face , Even at the base of Pompey's statue , Which all the while ran blood , great Caesar fell .","And at the base of Pompey's statue , with his cloak covering his face , which was dripping with blood the whole time , great Caesar fell ."
"O , what a fall was there , my countrymen !","Oh , what a fall it was , my countrymen !"
"Then I , and you , and all of us fell down , Whilst bloody treason flourished over us .","Then you and I and all of us fell down , while bloody treason triumphed ."
"Oh , now you weep , and , I perceive , you feel The dint of pity .","Oh , now you weep , and I sense that you feel pity ."
These are gracious drops .,These are gracious tears .
"Kind souls , what , weep you when you but behold Our Caesar's vesture wounded ?","But if it overwhelms you to look at Caesar's wounded cloak , how will you feel , kind men , now ?"
"Look you here , Here is himself , marred , as you see , with traitors .","Look at this , here is the man , scarred , as you can see , by traitors ."
O piteous spectacle !,"Oh , what a sad sight !"
O noble Caesar !,"Oh , noble Caesar !"
O woeful day !,"Oh , sad day !"
"O traitors , villains !","Oh , traitors , villains !"
O most bloody sight !,"Oh , most bloody sight !"
About !,Revenge !
Seek !,Seek !
Burn !,Burn !
Fire !,Set fire !
Kill !,Kill !
Slay !,Slay !
"Stay , countrymen .","Wait , countrymen ."
Peace there !,Quiet there !
Hear the noble Antony .,Listen to the noble Antony .
They that have done this deed are honorable .,Those who have done this deed are honorable .
"What private griefs they have , alas , I know not , That made them do it .",I don't know what private grudges they had that made them do it .
"They are wise and honorable , And will , no doubt , with reasons answer you .","They're wise and honorable , and will no doubt give you reasons for it ."
"I come not , friends , to steal away your hearts .","I haven't come to steal your loyalty , friends ."
"For I have neither wit nor words nor worth , Action nor utterance nor the power of speech , To stir men's blood .",I have neither cleverness nor rhetorical skill nor the authority nor gesture nor eloquence nor the power of speech to stir men up .
I only speak right on .,I just speak directly .
"But were I Brutus , And Brutus Antony , there were an Antony Would ruffle up your spirits and put a tongue In every wound of Caesar that should move The stones of Rome to rise and mutiny .","But if I were Brutus and Brutus were me , then I'd stir you up , and install in each of Caesar's wounds the kind of voice that could convince even stones to rise up and mutiny ."
We'll mutiny .,We'll mutiny .
We'll burn the house of Brutus .,We'll burn Brutus's house .
"Away , then !","Let's go , then !"
"Come , seek the conspirators .","Come , find the conspirators !"
"Yet hear me , countrymen .","Wait , and listen to me , countrymen ."
Yet hear me speak .,Quiet !
"Peace , ho !",Wait !
Hear Antony .,Listen to Antony .
Most noble Antony !,Most noble Antony !
"Why , friends , you go to do you know not what .","Why , friends , you don't even know what you're doing yet ."
Wherein hath Caesar thus deserved your loves ?,What has Caesar done to deserve your love ?
"Alas , you know not .","Alas , you don't know ."
I must tell you then .,I must tell you then .
You have forgot the will I told you of .,You've forgotten the will I told you about .
Most true .,Yes !
The will !,The will !
Let's stay and hear the will .,Let's stay and hear the will !
Most noble Caesar !,Most noble Caesar !
We'll revenge his death .,We'll revenge his death .
O royal Caesar !,"Oh , royal Caesar !"
Hear me with patience .,Listen to me patiently .
"Peace , ho !","Quiet , there !"
"Moreover , he hath left you all his walks , His private arbors and new-planted orchards , On this side Tiber .","Also , he's left you all his walkways , in his private gardens and newly planted orchards , on this side of the Tiber River ."
"He hath left them you And to your heirs forever , common pleasures , To walk abroad and recreate yourselves .","He's left them to you and to your heirs forever , public pleasures in which you will be able to stroll and relax ."
Here was a Caesar !,Here was a Caesar !
When comes such another ?,When will there be another like him ?
"We'll burn his body in the holy place , And with the brands fire the traitors ' houses .",We'll burn his body in the holy place and use the brands to set the traitors ' houses on fire .
Take up the body .,Take up the body .
Go fetch fire .,We'll start a fire .
Now let it work .,"Now , let it work ."
"How now , fellow ?","What's up , my man ?"
"Sir , Octavius is already come to Rome .","Sir , Octavius has already arrived in Rome ."
Where is he ?,Where is he ?
He and Lepidus are at Caesar's house .,He and Lepidus are at Caesar's house .
And thither will I straight to visit him .,I will go straight to visit him .
He comes upon a wish .,"I ask for him , and he comes ."
"Fortune is merry , And in this mood will give us anything .","Fortune is happy today and , in this mood , will give us anything we want ."
"I heard him say , Brutus and Cassius Are rid like madmen through the gates of Rome .",I heard Octavius say that Brutus and Cassius have ridden like madmen through the gates of Rome .
Belike they had some notice of the people How I had moved them .,They probably received warning about how much I stirred up the people .
Bring me to Octavius .,Take me to Octavius .
Tis just .,That's true .
"And it is very much lamented , Brutus , That you have no such mirrors as will turn Your hidden worthiness into your eye That you might see your shadow .","And it's too bad , Brutus , that you don't have any mirrors that could display your hidden excellence to yourself ."
"I have heard Where many of the best respect in Rome , Except immortal Caesar , speaking of Brutus And groaning underneath this age's yoke , Have wished that noble Brutus had his eyes .","I've heard many of the noblest Romans , next to immortal Caesar , speaking of you , complaining of the tyranny of today's government , and wishing that your eyes were working better ."
"Into what dangers would you lead me , Cassius , That you would have me seek into myself For that which is not in me ?","What dangers are you trying to lead me into , Cassius , that you want me to look inside myself for something that's not there ?"
"Therefore , good Brutus , be prepared to hear .","I'll tell you , good Brutus ."
"And since you know you can not see yourself So well as by reflection , I , your glass , Will modestly discover to yourself That of yourself which you yet know not of .","And since you know you can see yourself best by reflection , I'll be your mirror and show you , without exaggeration , things inside you that you can't see ."
"And be not jealous on me , gentle Brutus .","And don't be suspicious of me , noble Brutus ."
"Were I a common laugher , or did use To stale with ordinary oaths my love To every new protester , if you know That I do fawn on men and hug them hard And , after , scandal them , or if you know That I profess myself in banqueting To all the rout , then hold me dangerous .","If I were your average fool , or if I made my feelings for you worthless by making the same promises of friendship to everybody , or if you'd seen me first flattering men , hugging them tightly , and later slandering them behind their backs , or if you hear that I drunkenly declare friendship at banquets with all the rabble , only then , of course , go ahead and assume I'm dangerous ."
What means this shouting ?,Why are they shouting ?
"I do fear , the people Choose Caesar for their king .",I'm afraid the people have made Caesar their king .
"Ay , do you fear it ?","Really , are you afraid of that ?"
Then must I think you would not have it so .,Then I have to assume you don't want him to be king .
"I dreamt tonight that I did feast with Caesar , And things unlucky charge my fantasy .","I dreamed last night that I feasted with Caesar , and unlucky signs overwhelmed my imagination ."
"I have no will to wander forth of doors , Yet something leads me forth .","I have no desire to go outside , yet something leads me there ."
What is your name ?,What's your name ?
Whither are you going ?,Where are you going ?
Where do you dwell ?,Where do you live ?
Are you a married man or a bachelor ?,Are you a married man or a bachelor ?
Answer every man directly .,"Answer all of us , now ."
"Ay , and briefly .","Yes , and be brief ."
"Ay , and wisely .","Yes , and be wise ."
What is my name ?,What's my name ?
Whither am I going ?,Where am I going ?
Where do I dwell ?,Where do I live ?
Am I a married man or a bachelor ?,Am I a married man or a bachelor ?
"Then , to answer every man directly and briefly , wisely and truly , wisely I say , I am a bachelor .","Then , to answer every man briefly , wisely , and truthfully , wisely I say , I am a bachelor ."
That's as much as to say they are fools that marry .,You imply that married men are fools .
"You'll bear me a bang for that , I fear .","You'll get a blow from me for that , I think ."
"Directly , I am going to Caesar's funeral .","Right this instant , I'm going to Caesar's funeral ."
As a friend or an enemy ?,As a friend or an enemy ?
As a friend .,As a friend .
"Briefly , I dwell by the Capitol .","Getting right to the point , I live near the Capitol ."
"Your name , sir , truly .","Tell us your name , sir , truthfully ."
"Truly , my name is Cinna .","Truthfully , my name is Cinna ."
Tear him to pieces .,Tear him to pieces .
He's a conspirator .,He's a conspirator .
I am not Cinna the conspirator .,I'm not Cinna the conspirator .
It is no matter .,It doesn't matter .
His name's Cinna .,His name's Cinna .
Pluck but his name out of his heart and turn him going .,Pull only his name out of his heart and let him go .
"Tear him , tear him !","Tear him apart , tear him up !"
"Come , brands , ho , firebrands .","Come , firebrands , over here !"
"To Brutus ' , to Cassius ' , burn all .","To Brutus's , to Cassius's , let's burn them all ."
Some to Decius ' house and some to Casca's .,Some of you go to Decius's house and some to Casca's .
Some to Ligarius ' .,Some to Ligarius's .
"Away , go !",Go !
"These many , then , shall die .","These ones , then , will be assassinated ."
Their names are pricked .,Their names are marked .
"I do consent , Prick him down , Antony .","I agree , Put a mark next to his name too , Antony ."
"Upon condition Publius shall not live , Who is your sister's son , Mark Antony .","On the condition that your sister's son , Publius , also must die , Mark Antony ."
He shall not live .,He will die .
"Look , with a spot I damn him .","See , I've sealed his fate with this mark next to his name ."
"But , Lepidus , go you to Caesar's house .","But , Lepidus , go to Caesar's house ."
"Fetch the will hither , and we shall determine How to cut off some charge in legacies .","Bring his will here , and we'll figure out a way to reduce his bequests to the people ."
"What , shall I find you here ?",Will you be here when I return ?
"Or here , or at the Capitol .",Either here or at the Capitol .
"This is a slight , unmeritable man , Meet to be sent on errands .","He's an unremarkable man , fit only to be sent on errands ."
"Is it fit , The threefold world divided , he should stand One of the three to share it ?","Does it really make sense , once we divide the world into three parts , that he should be one of the three rulers ?"
"Octavius , I have seen more days than you .","Octavius , I'm older than you are ."
"And though we lay these honors on this man To ease ourselves of divers slanderous loads , He shall but bear them as the ass bears gold , To groan and sweat under the business , Either led or driven , as we point the way .","And although we're giving these honors to this man so that he shares some of the blame for what we're doing , he'll carry these honors like a jackass carries gold , groaning and sweating under the load , either led or pushed , as we direct him ."
"And having brought our treasure where we will , Then take we down his load and turn him off , Like to the empty ass , to shake his ears And graze in commons .","Once he's carried our treasure where we want it , we'll free him of the load and turn him loose like a jackass , to shake his ears and graze in the public pastures ."
"You may do your will , But he's a tried and valiant soldier .","You can do what you want , but he's an experienced and honorable soldier ."
"So is my horse , Octavius , and for that I do appoint him store of provender .","So is my horse , Octavius , and for that reason I give him all the hay he wants ."
"Stand , ho !",Stop .
"Give the word , ho , and stand .",Pass on the command to halt !
"What now , Lucillius ?","What's happening now , Lucillius ?"
Is Cassius near ?,Is Cassius nearby ?
"He is at hand , and Pindarus is come To do you salutation from his master .","He's nearby , and Pindarus has come to salute you on behalf of his master ."
But if he be at hand I shall be satisfied .,"If he's nearby , I want an explanation ."
"He is not doubted. , A word , Lucillius .","Can I have a word with you , Lucillius ?"
But not with such familiar instances Nor with such free and friendly conference As he hath used of old .,"He received me with courtesy and sufficient respect , but not with affection , nor with as much open and friendly conversation as he once greeted me ."
Thou hast described A hot friend cooling .,You've described a warm friend who's cooling off .
There are no tricks in plain and simple faith .,Plain and simple loyalty doesn't make anyone act phony .
"But hollow men , like horses hot at hand , Make gallant show and promise of their mettle .","But insincere men , like horses who are too lively at the start of a race , make a big show of their spirit ."
"But when they should endure the bloody spur , They fall their crests and , like deceitful jades , Sink in the trial .","But when push comes to shove , they droop like those horses that are all show and slow to a crawl ."
Comes his army on ?,Is his army approaching ?
They mean this night in Sardis to be quartered .,They plan to spend the night in Sardis .
"The greater part , the horse in general , Are come with Cassius .","The larger part , the main body of cavalry , are coming with Cassius ."
Hark !,Look !
He is arrived .,He's arrived .
March gently on to meet him .,March to meet him at a dignified pace .
"Stand , ho !",Halt .
"Stand , ho !",Halt !
Speak the word along .,Pass the order along .
Stand !,Halt !
Stand !,Halt !
Stand !,Halt !
"Most noble brother , you have done me wrong .","Most noble brother , you have done me wrong ."
"Judge me , you gods !",Let the gods judge me !
Wrong I mine enemies ?,Do I mistreat even my enemies ?
"And when you do them , Cassius , be content .","And when you do , Cassius , calm down ."
"Before the eyes of both our armies here , Which should perceive nothing but love from us , Let us not wrangle .","Let's not argue here in front of both our armies , which ought to see nothing but love between us ."
Bid them move away .,Order them to move back .
"Then in my tent , Cassius , enlarge your griefs , And I will give you audience .","Then , in my tent , you can elaborate on your complaints , and I'll listen ."
"Pindarus , Bid our commanders lead their charges off A little from this ground .","Pindarus , order our commanders to lead their charges a little ways away from this ground ."
Let Lucius and Titinius guard our door .,Have Lucius and Titinius guard the door .
"That you have wronged me doth appear in this : You have condemned and noted Lucius Pella For taking bribes here of the Sardians , Wherein my letters , praying on his side Because I knew the man , were slighted off .","My evidence that you have wronged me is that you condemned and disgraced Lucius Pella for taking bribes here from the Sardinians , and you ignored my letters , where I argued that he was innocent ; I know the man ."
You wronged yourself to write in such a case .,You wronged yourself to write on behalf of such a man .
In such a time as this it is not meet That every nice offense should bear his comment .,"In a time like this , it doesn't make sense to criticize every offense ."
"Let me tell you , Cassius , you yourself Are much condemned to have an itching palm , To sell and mart your offices for gold To undeservers .","I'll tell you , Cassius , you yourself have been called greedy and been accused of giving your positions to undeserving men in exchange for gold ."
"I ""an itching palm"" !","Me , ""greedy"" !"
"You know that you are Brutus that speak this , Or , by the gods , this speech were else your last .","You know , if you were anyone other than Brutus , that speech would be your last ."
"The name of Cassius honors this corruption , And chastisement doth therefore hide his head .","The name of Cassius gives credit to these corrupt actions , and so they go unpunished ."
Chastisement !,Unpunished !
"Remember March , the ides of March remember .","Remember March , March 15th ."
Did not great Julius bleed for justice ' sake ?,Didn't great Caesar bleed for the sake of justice ?
"What villain touched his body , that did stab , And not for justice ?",Who among us stabbed him for any cause but justice ?
"What , shall one of us That struck the foremost man of all this world But for supporting robbers , shall we now Contaminate our fingers with base bribes , And sell the mighty space of our large honors For so much trash as may be grasped thus ?",Should we now dirty our fingers with lowly bribes and sell the mighty offices that we hold for whatever money we can get our hands on ?
I had rather be a dog and bay the moon Than such a Roman .,I'd rather be a dog and howl at the moon than be that kind of Roman .
"Brutus , bait not me .","Brutus , do not provoke me ."
I'll not endure it .,I will not take it .
You forget yourself To hedge me in .,You're forgetting yourself when you back me into a corner .
"I am a soldier , I , Older in practice , abler than yourself To make conditions .","I'm a soldier , more experienced than you , and better able to give orders ."
Go to .,Get lost !
"You are not , Cassius .","You are not , Cassius ."
I am .,I am .
I say you are not .,I say you're not .
"Urge me no more , I shall forget myself .",Don't provoke me any further or I'll forget to restrain myself .
"Have mind upon your health , tempt me no further .","If you care about your health , you won't push me any further ."
"Away , slight man !","Leave , you little man ."
Is 't possible ?,Is this possible ?
"Hear me , for I will speak .","Listen to me , for I have something to tell you ."
Shall I be frighted when a madman stares ?,Does a madman scare me when he stares at me ?
But wherefore do you hold me here so long ?,But why do you keep me here so long ?
What is it that you would impart to me ?,What do you want to tell me ?
"I know that virtue to be in you , Brutus , As well as I do know your outward favor .","I know this quality in you , Brutus , it's as familiar to me as your face ."
"Well , honor is the subject of my story .","Indeed , honor is what I want to talk to you about ."
"I can not tell what you and other men Think of this life , but , for my single self , I had as lief not be as live to be In awe of such a thing as I myself .","I don't know what you and other men think of this life , but as for me , I'd rather not live at all than live to worship a man as ordinary as myself ."
I was born free as Caesar .,I was born as free as Caesar .
So were you .,So were you .
"We both have fed as well , and we can both Endure the winter's cold as well as he .","We both have eaten as well , and we can both endure the cold winter as well as he ."
"For once upon a raw and gusty day , The troubled Tiber chafing with her shores , Caesar said to me , ""Darest thou , Cassius , now Leap in with me into this angry flood And swim to yonder point ? "" Upon the word , Accoutred as I was , I plunged in And bade him follow .","Once , on a cold and windy day , when the river Tiber was crashing against its banks , Caesar said to me , ""Cassius , I dare you to jump into this rough water with me and swim to that point there."" As soon as he spoke , though I was fully dressed , I plunged in and called for him to follow ."
So indeed he did .,And he did .
"But ere we could arrive the point proposed , Caesar cried , ""Help me , Cassius , or I sink ! "" I , as Aeneas , our great ancestor , Did from the flames of Troy upon his shoulder The old Anchises bear , so from the waves of Tiber Did I the tired Caesar .","But before we reached the end point , Caesar cried , ""Help me , Cassius , or I will sink ! "" And just as Aeneas , the hero who founded Rome , emerged from the fires of Troy with his elderly father Anchises on his shoulder , so I emerged from the Tiber carrying the tired Caesar ."
"All this"" ?","All this"" ?"
"Ay , more .","Yes , and more ."
Fret till your proud heart break .,"Go ahead , rage till your proud heart breaks ."
Go show your slaves how choleric you are And make your bondmen tremble .,"Show your slaves how mad you are , and make your servants tremble ."
Is it come to this ?,Has it come to this ?
You say you are a better soldier .,You say you're a better soldier .
Let it appear so .,Show it !
"Make your vaunting true , And it shall please me well .","Make your boasts come true , and I'll be thrilled ."
"For mine own part , I shall be glad to learn of noble men .",I'm always happy to hear about brave men .
You wrong me every way .,You wrong me in every way .
"You wrong me , Brutus .","You wrong me , Brutus ."
"When Caesar lived , he durst not thus have moved me .","When Caesar was alive , even he wouldn't dare anger me like this ."
"Peace , peace !","Oh , be quiet ."
You durst not so have tempted him .,You wouldn't have dared to tempt him so .
I durst not !,I wouldn't have dared !
No .,No .
For your life you durst not .,"You wouldn't have dared , out of fear for your life ."
Do not presume too much upon my love .,Don't take my love for granted .
I may do that I shall be sorry for .,I might do something I'll be sorry for .
You have done that you should be sorry for .,You've already done something you should be sorry for .
"There is no terror , Cassius , in your threats , For I am armed so strong in honesty That they pass by me as the idle wind , Which I respect not .","Your threats don't scare me , Cassius , because I'm so secure in my honesty and integrity that they pass me by like a weak breeze ."
"I did send To you for gold to pay my legions , Which you denied me .","I asked you for gold to pay my soldiers , and you wouldn't give it to me ."
Was that done like Cassius ?,Was that the Caius Cassius that I knew ?
Should I have answered Caius Cassius so ?,And would I have ever done that to you ?
I denied you not .,I didn't refuse you .
You did .,You did .
I did not .,I didn't .
He was but a fool that brought My answer back .,The man who brought my answer to you was a fool .
Brutus hath rived my heart .,You have broken my heart .
"A friend should bear his friend's infirmities , But Brutus makes mine greater than they are .","A friend should put up with his friend's weaknesses , but you exaggerate mine ."
"I do not , till you practice them on me .",I don't until you practice them on me .
You love me not .,You don't love me .
I do not like your faults .,I don't like your faults .
A friendly eye could never see such faults .,A friend would never see those faults .
"A flatterer's would not , though they do appear As huge as high Olympus .","No , a flatterer wouldn't , even if the faults were as huge as Mount Olympus ."
"Oh , I could weep My spirit from mine eyes .","Oh , I could weep my soul right out of myself !"
Sheathe your dagger .,There's my dagger Put away your dagger .
"Be angry when you will , it shall have scope .","Be angry whenever you like , it's all right with me ."
"Do what you will , dishonor shall be humor .","Do whatever you want , and I'll say your insults are just a bad mood ."
"When I spoke that , I was ill-tempered too .","When I said that , I was angry too ."
Do you confess so much ?,"You admit it , then ?"
Give me your hand .,Give me your hand .
And my heart too .,And my heart too .
O Brutus !,"Oh , Brutus !"
What's the matter ?,What's the matter ?
"Have not you love enough to bear with me , When that rash humor which my mother gave me Makes me forgetful ?","Do you have enough love for me to be patient when my bad temper , which I inherited from my mother , makes me forget how I should behave ?"
"Yes , Cassius .","Yes , Cassius ."
"And from henceforth When you are over-earnest with your Brutus , He'll think your mother chides and leave you so .","And from now on , when you get hot with me , I'll assume it's your mother speaking and leave it at that ."
How now ?,What's this !
What's the matter ?,What's the matter ?
"For shame , you generals !","You should be ashamed , generals !"
What do you mean ?,What do you think you're doing ?
"Love , and be friends as two such men should be .","Love each other and be friends , like two such men should be ."
"For I have seen more years , I'm sure , than ye .","Listen to me , because I'm older than you , surely ."
"Bear with him , Brutus .","Be patient with him , Brutus ."
Tis his fashion .,That's just how he is .
I'll know his humor when he knows his time .,I'll humor him when he learns how to behave .
What should the wars do with these jigging fools ?,What should we do with all these rhyming fools that follow us from post to post ?
"Companion , hence !","Get out of here , my friend ."
"Away , away , be gone .","Away , away , be gone ."
"Lucillius and Titinius , bid the commanders Prepare to lodge their companies tonight .","Lucillius and Titinius , order the commanders to have the men camp for the night ."
"And come yourselves , and bring Messala with you , Immediately to us .","And return to us immediately , bringing Messala with you ."
I did not think you could have been so angry .,I didn't think you could even be so angry .
"O Cassius , I am sick of many griefs .","Oh Cassius , I'm tired out by many sorrows ."
Portia is dead .,Portia is dead .
"Ha , Portia ?",Portia !
She is dead .,She is dead .
O insupportable and touching loss !,What an irreplaceable and grievous loss !
Upon what sickness ?,What sickness did she die of ?
"Impatient of my absence , And grief that young Octavius with Mark Antony Have made themselves so strong , for with her death That tidings came , with this she fell distract And , her attendants absent , swallowed fire .","She was worried about my absence , and about the fact that young Octavius and Mark Antony have grown so strong , which I found out at the same time as the news of her death ."
And died so ?,And that's how she died ?
Even so .,"Yes , like that ."
O ye immortal gods !,"Oh , immortal gods !"
My heart is thirsty for that noble pledge .,My heart is thirsty for that noble promise .
"Fill , Lucius , till the wine o'erswell the cup .","Fill my cup , Lucius , until the wine overflows it ."
I can not drink too much of Brutus ' love .,I can not drink too much of Brutus's love .
Now sit we close about this taper here And call in question our necessities .,Now let's sit closely around this candle and discuss our needs .
"Portia , art thou gone ?","Portia , are you really gone ?"
"No more , I pray you .","No more about that , please ."
"Messala , I have here received letters That young Octavius and Mark Antony Come down upon us with a mighty power , Bending their expedition toward Philippi .","Messala , I have received these letters explaining that young Octavius and Mark Antony are rushing toward Philippi and bearing down upon us with a mighty power ."
Myself have letters of the selfsame tenor .,I have received letters that say the same .
With what addition ?,And anything else ?
"That by proscription and bills of outlawry , Octavius , Antony , and Lepidus Have put to death an hundred senators .","That with a series of legal writs , Octavius , Antony , and Lepidus have put a hundred senators to death ."
Therein our letters do not well agree .,"On that point , our letters don't agree ."
"Mine speak of seventy senators that died By their proscriptions , Cicero being one .","My letters say only seventy senators were killed , one being Cicero ."
Cicero one ?,Cicero too ?
"Cicero is dead , And by that order of proscription .","Cicero is dead , by their decree ."
"No , Messala .","No , Messala ."
Nor nothing in your letters writ of her ?,And you haven't heard any news about her in your letters ?
"Nothing , Messala .","Nothing , Messala ."
That methinks is strange .,I think that's strange .
Why ask you ?,Why do you ask ?
Hear you aught of her in yours ?,Have you heard something of her in your letters ?
"No , my lord .","No , my lord ."
"Now , as you are a Roman , tell me true .","Now , as you're a Roman , tell me the truth ."
Then like a Roman bear the truth I tell .,Then you must take the truth I have to tell like a Roman .
"For certain she is dead , and by strange manner .","It's certain that she is dead , and she died in a strange way ."
"Why , farewell , Portia .","Well , good-bye , Portia ."
"We must die , Messala .","We all must die , Messala ."
"With meditating that she must die once , I have the patience to endure it now .","Having already thought about the fact that she would have to die sometime , I can endure her death now ."
Even so great men great losses should endure .,That's the way great men ought to endure great losses .
"I have as much of this in art as you , But yet my nature could not bear it so .","I've practiced Stoicism with as much devotion as you , but I still couldn't bear this news like you do ."
"Well , to our work alive .","Well , let's move on to our work with the living ."
What do you think Of marching to Philippi presently ?,What do you think of marching to Philippi immediately ?
I do not think it good .,I don't think it's a good idea .
Your reason ?,Why not ?
This it is : 'T is better that the enemy seek us .,Here's why : it'd be better for the enemy to come after us .
"So shall he waste his means , weary his soldiers , Doing himself offense , whilst we , lying still , Are full of rest , defense , and nimbleness .","That way , he'll waste his provisions and tire out his soldiers , weakening his own capacities , while we , lying still , are rested , energetic , and nimble ."
"The enemy , marching along by them , By them shall make a fuller number up , Come on refreshed , new-added , and encouraged , From which advantage shall we cut him off If at Philippi we do face him there , These people at our back .","If we meet him at Philippi , these people will be at our backs ."
"Hear me , good brother , Under your pardon .","Listen to me , good brother ."
"You must note beside , That we have tried the utmost of our friends , Our legions are brim-full , our cause is ripe .",Our regiments are full to the brim ; our cause is ready .
The enemy increaseth every day .,The enemy gets larger each day .
"We , at the height , are ready to decline .","We , now at our largest , can only decrease ."
"On such a full sea are we now afloat , And we must take the current when it serves Or lose our ventures .","It's on such a high tide that we're now floating , and we must take the current when it is offered , or lose our campaign ."
"Then , with your will , go on .","If that's what you want , all right ."
"We'll along ourselves , and meet them at Philippi .",We'll go forward with you and meet them at Philippi .
"The deep of night is crept upon our talk , And nature must obey necessity , Which we will niggard with a little rest .","It's now late at night , and actions must accommodate bodily needs , which we'll satisfy with only a short rest ."
There is no more to say ?,That's all there is to say .
No more .,There's nothing else .
Good night .,Good night .
Early tomorrow will we rise and hence .,We'll rise and leave early tomorrow .
Lucius !,Lucius !
Never come such division 'tween our souls .,Let's pray that we never come into conflict like that again .
"Let it not , Brutus .","Let's not , Brutus ."
"Is now become a god , and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him .","And this is the man who has now become a god , and I'm a wretched creature who must bow down if Caesar so much as carelessly nods my way ."
"He had a fever when he was in Spain , And when the fit was on him , I did mark How he did shake .","In Spain , Caesar had a fever , and it made him shake ."
"Tis true , this god did shake !","It's true , this so-called ""god"" , he shook ."
"His coward lips did from their color fly , And that same eye whose bend doth awe the world Did lose his luster .","His cowardly lips turned white , and the same eye whose gaze terrifies the world lost its gleam ."
"I did hear him groan , Ay , and that tongue of his that bade the Romans Mark him and write his speeches in their books , ""Alas , "" it cried , ""give me some drink , Titinius , "" As a sick girl .","I heard him groan , yes , I did , and the same tongue that ordered the Romans to obey him and transcribe his speeches in their books cried , ""Give me some water , Titinius , "" like a sick girl ."
"Ye gods , it doth amaze me A man of such a feeble temper should So get the start of the majestic world And bear the palm alone .",It astounds me that such a weak man could beat the whole world and carry the trophy of victory alone .
Another general shout !,More shouting !
I do believe that these applauses are For some new honors that are heaped on Caesar .,I think this applause is for some new honors awarded to Caesar .
